2024-06-18 10:15:32 INFO  Starting the application.
2024-06-18 10:16:05 WARN  Low disk space on volume /dev/sda1.
2024-06-18 10:17:42 INFO  User john.doe logged in.
2024-06-18 10:18:23 ERROR Failed to load configuration file.
2024-06-18 10:18:45 INFO  User john.doe accessed /home/john.doe/files.
2024-06-18 10:19:02 INFO  Starting backup process.
2024-06-18 10:19:45 WARN  Backup process taking longer than expected.
2024-06-18 10:20:12 INFO  Backup process completed successfully.
2024-06-18 10:21:30 INFO  User jane.doe logged in.
2024-06-18 10:22:15 INFO  User jane.doe logged out.
2024-06-18 10:23:05 INFO  Shutting down the application.
